,position,goals.min,goals.max,goals.avg,xG.min,xG.max,xG.avg,shots.min,shots.max,shots.avg,assists.min,assists.max,assists.avg,xA.min,xA.max,xA.avg,key_passes.min,key_passes.max,key_passes.avg,xGChain.min,xGChain.max,xGChain.avg,xGBuildup.min,xGBuildup.max,xGBuildup.avg,player_id,player
2,MC,0.0,0.0052,0.0009,3.3423e-05,0.00370003,0.000922265,0.0012,0.0354,0.0124,0.0,0.0072,0.001,5.26699e-05,0.00467557,0.000968308,0.0021,0.0377,0.0115,0.000853652,0.0121255,0.00367181,0.000641621,0.00805912,0.00256902,11822,Fermín López
3,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,11822,Fermín López
0,AMC,0.0003,0.0062,0.0023,0.000660038,0.00498264,0.00219215,0.0111,0.0425,0.0218,0.0003,0.0058,0.0018,0.000711777,0.00459255,0.00184258,0.009,0.0451,0.0186,0.00274983,0.0100706,0.0048801,0.00107182,0.00620643,0.00222072,7892,João Félix
1,AML,0.0008,0.0047,0.0021,0.00137774,0.00533042,0.00215884,0.0171,0.0471,0.0219,0.0005,0.0029,0.0016,0.000885481,0.00306393,0.00171637,0.0093,0.0302,0.0158,0.00287228,0.0102763,0.00462947,0.000891701,0.00519737,0.00189168,7892,João Félix
2,FW,0.0011,0.0126,0.0042,0.00172821,0.0120816,0.00415549,0.015,0.0737,0.028,0.0,0.0048,0.0014,0.000264191,0.00538174,0.00131568,0.0036,0.0309,0.012,0.00272705,0.0169137,0.00533791,0.000243189,0.00671256,0.00131848,7892,João Félix
3,FWL,0.0012,0.0118,0.0031,0.00174245,0.01055,0.00292459,0.0188,0.0693,0.0268,0.0017,0.0044,0.002,0.00164754,0.00494143,0.00210375,0.0146,0.0312,0.0179,0.00449077,0.0149307,0.00586649,0.00165576,0.00585821,0.00232553,7892,João Félix
4,FWR,0.0021,0.0112,0.0031,0.00177455,0.00935705,0.00297569,0.0216,0.0562,0.0255,0.0014,0.0051,0.002,0.00193369,0.0056116,0.00206886,0.0187,0.0349,0.0179,0.00431047,0.015081,0.00580084,0.00185389,0.00589115,0.00232677,7892,João Félix
5,ML,0.0003,0.0032,0.0015,0.000582739,0.00258697,0.00149701,0.0101,0.0261,0.0172,0.0003,0.0041,0.0015,0.000581581,0.00254577,0.00152095,0.009,0.022,0.0149,0.00241614,0.00668257,0.00377472,0.00098706,0.00359707,0.001802,7892,João Félix
6,MR,0.0007,0.0033,0.0014,0.000812305,0.00294841,0.00146385,0.0082,0.0262,0.0162,0.0006,0.0023,0.0015,0.00115283,0.00257078,0.0015276,0.0092,0.0195,0.0146,0.00267489,0.00524829,0.00383968,0.00103525,0.00300881,0.00180971,7892,João Félix
7,Sub,0.0008,0.016,0.0026,0.00121151,0.014437,0.00274433,0.0089,0.066,0.0249,0.0008,0.009,0.0017,0.000909816,0.00537747,0.00171517,0.0062,0.0369,0.0162,0.00378437,0.0160493,0.00590006,0.000342356,0.00815345,0.0027587,7892,João Félix
