game_id,event_id,period_id,team_id,player_id,type_id,timestamp,minute,second,outcome,start_x,start_y,end_x,end_y,qualifiers,related_player_id,touch,goal,shot,type_name
1734996,2609529707,1,65,384711.0,1,2023-10-28 15:16:52,1,52,False,49.0,0.0,61.0,2.8,"{212: '12.9', 107: True, 56: 'Right', 140: '61.0', 213: '0.21', 141: '2.8'}",,True,False,False,pass
1734996,2609529747,1,52,296337.0,49,2023-10-28 15:16:53,1,53,True,42.2,95.1,42.2,95.1,{},,False,False,False,ball recovery
1734996,2609529873,1,52,296337.0,1,2023-10-28 15:16:53,1,53,True,42.2,95.1,61.0,93.9,"{141: '93.9', 155: True, 213: '6.24', 140: '61.0', 178: True, 212: '19.8', 56: 'Left'}",,True,False,False,pass
1734996,2609529927,1,52,337782.0,3,2023-10-28 15:16:56,1,56,False,61.4,95.1,61.4,95.1,"{233: '22', 15: True, 178: True, 286: True, 56: 'Left'}",,True,False,False,take on
1734996,2609529943,1,65,130331.0,7,2023-10-28 15:16:56,1,56,True,38.6,4.9,38.6,4.9,"{15: True, 178: True, 285: True, 56: 'Back', 233: '27'}",,True,False,False,tackle
1734996,2609530235,1,52,296337.0,1,2023-10-28 15:17:05,2,5,True,59.8,100.0,63.8,92.1,"{212: '7.9', 107: True, 56: 'Left', 140: '63.8', 213: '5.27', 141: '92.1'}",,True,False,False,pass
1734996,2609530333,1,52,379868.0,1,2023-10-28 15:17:06,2,6,True,63.8,92.1,59.0,94.4,"{212: '5.3', 213: '2.84', 178: True, 141: '94.4', 140: '59.0', 56: 'Left'}",,True,False,False,pass
1734996,2609530503,1,52,296337.0,1,2023-10-28 15:17:08,2,8,True,49.8,96.8,23.7,70.2,"{141: '70.2', 212: '32.8', 140: '23.7', 213: '3.72', 56: 'Back', 1: True, 178: True}",,True,False,False,pass
1734996,2609530575,1,52,113880.0,1,2023-10-28 15:17:11,2,11,False,23.7,70.2,60.8,89.2,"{141: '89.2', 178: True, 1: True, 56: 'Left', 212: '41.0', 213: '0.32', 140: '60.8'}",,True,False,False,pass
1734996,2609530637,1,65,384711.0,1,2023-10-28 15:17:15,2,15,False,43.8,4.9,60.2,17.3,"{178: True, 212: '19.2', 56: 'Right', 140: '60.2', 141: '17.3', 213: '0.46', 3: True}",,True,False,False,pass
