,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
4,1821,True,h,2016-09-21 22:00:00,d,150,Real Madrid,RMA,154,Villarreal,VIL,1,1,1.34367,1.0322,0.43852858295459224,0.2740367460616079,0.287434670965041
5,1833,True,a,2016-09-24 22:45:00,d,144,Las Palmas,LPL,150,Real Madrid,RMA,2,2,1.31532,2.7519,0.16034835649358983,0.16368368382759746,0.6759677285799004
6,1845,True,h,2016-10-02 18:15:00,d,150,Real Madrid,RMA,156,Eibar,EIB,1,1,1.67419,0.445,0.6787509853450114,0.22774203290449135,0.09350698138646352
7,1853,True,a,2016-10-15 22:45:00,w,153,Real Betis,BET,150,Real Madrid,RMA,1,6,0.908061,3.98737,0.040831414018655206,0.07153881559732582,0.8876105398025662
8,1868,True,h,2016-10-23 22:45:00,w,150,Real Madrid,RMA,147,Athletic Club,ATH,2,1,3.52634,1.38084,0.7728655106036916,0.11976001608380556,0.1073698162188954
9,3310,True,a,2016-10-29 18:15:00,w,158,Alaves,ALA,150,Real Madrid,RMA,1,4,1.37267,2.77099,0.1678871790669053,0.1645839594900078,0.6675286095782331
10,2781,True,h,2016-11-06 15:00:00,w,150,Real Madrid,RMA,159,Leganes,LEG,3,0,2.62943,0.273683,0.8740440249686808,0.10202117076503875,0.02393467349732717
11,2790,True,a,2016-11-19 23:45:00,w,143,Atletico Madrid,ATL,150,Real Madrid,RMA,0,3,1.0815,2.03273,0.19581863017507967,0.21078761512104027,0.5933937499125128
12,2798,True,h,2016-11-26 19:15:00,w,150,Real Madrid,RMA,149,Sporting Gijon,GIJ,2,1,2.90122,1.46445,0.6704642080332278,0.15966793457489864,0.16986741277609427
13,3164,True,a,2016-12-03 19:15:00,d,148,Barcelona,BAR,150,Real Madrid,RMA,1,1,1.73984,1.35909,0.4650517510640331,0.23403095824619966,0.3009172900586067
14,3177,True,h,2016-12-10 23:45:00,w,150,Real Madrid,RMA,139,Deportivo La Coruna,DEP,3,2,1.17016,0.648444,0.4846387939427396,0.3107857591935522,0.20457544686100484
15,3885,True,h,2017-01-07 16:00:00,w,150,Real Madrid,RMA,155,Granada,GRA,5,0,4.18059,0.415223,0.9523640117676699,0.036857307110247685,0.01074594319636236
16,3902,True,a,2017-01-15 23:45:00,l,138,Sevilla,SEV,150,Real Madrid,RMA,2,1,0.452252,2.0699,0.06900537244605137,0.17497400966967883,0.7560206118110969
17,3906,True,h,2017-01-21 18:15:00,w,150,Real Madrid,RMA,137,Malaga,MAL,2,1,1.98978,0.399232,0.7556332138092162,0.18039392621098072,0.06397285636068771
18,3922,True,h,2017-01-29 22:45:00,w,150,Real Madrid,RMA,140,Real Sociedad,SOC,3,0,1.06592,0.250453,0.5688986995682452,0.34460130311619913,0.08649999731482087
